timeout,model,trees,depth,tool,runtime,memory,robust,fragile,vulnerable,broken,unsolved
60,GB,50,10,silva,1.76,81,10123,165,131,81,0
60,GB,50,10,silva-mc,1.53,154,10123,165,131,81,0
60,GB,50,10,vote,1.73,141,10123,165,131,81,0
60,GB,50,10,vote-mc,1.45,145,10123,165,131,81,0
60,GB,75,5,silva,2.1,69,9606,417,254,223,0
60,GB,75,5,silva-mc,1.48,143,9606,417,254,223,0
60,GB,75,5,vote,2.13,68,9606,417,254,223,0
60,GB,75,5,vote-mc,1.19,71,9606,417,254,223,0
60,GB,75,10,silva,10.4,823,10071,265,81,83,0
60,GB,75,10,silva-mc,8.69,922,10071,265,81,83,0
60,GB,75,10,vote,6.87,117,10071,265,81,83,0
60,GB,75,10,vote-mc,2.43,125,10071,265,81,83,0
60,GB,100,10,silva,134.76,9595,10052,324,55,69,0
60,GB,100,10,silva-mc,95.58,11822,10050,320,55,68,7
60,GB,100,10,vote,84.87,155,10052,324,55,69,0
60,GB,100,10,vote-mc,12.4,170,10052,324,55,69,0
60,GB,150,10,silva,8285.05,35024,9966,393,21,47,73
60,GB,150,10,silva-mc,1053.83,22234,9843,343,18,39,257
60,GB,150,10,vote,6795.33,231,9967,463,21,49,68
60,GB,150,10,vote-mc,283.34,255,9965,465,21,49,73
